# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_one.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_three.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/fragment_two.xml:2
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/tinderview.xml:2
-keep class android.support.constraint.ConstraintLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_bottom_navigation_item.xml:26
-keep class android.support.design.internal.BaselineLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_navigation_item.xml:17
-keep class android.support.design.internal.NavigationMenuItemView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_navigation_menu.xml:17
-keep class android.support.design.internal.NavigationMenuView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_layout_snackbar_include.xml:18
-keep class android.support.design.internal.SnackbarContentLayout { <init>(...); }

# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/activity_main.xml:7
-keep class android.support.design.widget.AppBarLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_text_input_password_icon.xml:18
-keep class android.support.design.widget.CheckableImageButton { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_bottom_sheet_dialog.xml:26
# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/activity_main.xml:2
-keep class android.support.design.widget.CoordinatorLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout-sw600dp-v13/design_layout_snackbar.xml:18
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/design-27.1.1.aar/7320d16d3c027ad9c5dc6d791d5928fb/res/layout/design_layout_snackbar.xml:18
-keep class android.support.design.widget.Snackbar$SnackbarLayout { <init>(...); }

# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/activity_main.xml:20
-keep class android.support.design.widget.TabLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_material.xml:41
-keep class android.support.v4.widget.NestedScrollView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_select_dialog_material.xml:23
-keep class android.support.v7.app.AlertController$RecycleListView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_action_menu_item_layout.xml:17
-keep class android.support.v7.view.menu.ActionMenuItemView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_expanded_menu_layout.xml:17
-keep class android.support.v7.view.menu.ExpandedMenuView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_list_menu_item_layout.xml:17
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_popup_menu_item_layout.xml:17
-keep class android.support.v7.view.menu.ListMenuItemView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-v26/abc_screen_toolbar.xml:27
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_toolbar.xml:27
-keep class android.support.v7.widget.ActionBarContainer { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-v26/abc_screen_toolbar.xml:44
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_action_mode_bar.xml:19
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_toolbar.xml:43
-keep class android.support.v7.widget.ActionBarContextView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-v26/abc_screen_toolbar.xml:17
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_toolbar.xml:17
-keep class android.support.v7.widget.ActionBarOverlayLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_action_menu_layout.xml:17
-keep class android.support.v7.widget.ActionMenuView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_activity_chooser_view.xml:19
-keep class android.support.v7.widget.ActivityChooserView$InnerLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_material.xml:18
-keep class android.support.v7.widget.AlertDialogLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-watch-v20/abc_alert_dialog_button_bar_material.xml:18
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_button_bar_material.xml:26
-keep class android.support.v7.widget.ButtonBarLayout { <init>(...); }

# Referenced at /home/prasanth/StudioProjects/Wellthy/app/src/main/res/layout/tinderview.xml:8
-keep class android.support.v7.widget.CardView { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_content_include.xml:19
-keep class android.support.v7.widget.ContentFrameLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout-watch-v20/abc_alert_dialog_title_material.xml:44
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_alert_dialog_title_material.xml:45
-keep class android.support.v7.widget.DialogTitle { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_simple_overlay_action_mode.xml:23
-keep class android.support.v7.widget.FitWindowsFrameLayout { <init>(...); }

# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_dialog_title_material.xml:22
# Referenced at /home/prasanth/.gradle/caches/transforms-1/files-1.1/appcompat-v7-27.1.1.aar/5bd9138d0538d8afffbd425646809caa/res/layout/abc_screen_simple.xml:17
-keep class android.support.v7.widget.FitWindowsLinearLayout { <init>(...); }

